,id,x_pos,y_pos,x_yaw,y_yaw
340,12,37.79795760333184,7.860446989572239,0.9982395185441114,0.0593115807985303
341,9,-48.06137222223465,8.24574115358433,0.976660008035828,0.2147911280836721
342,21,-6.219185173780193,35.5470757735289,-0.945410356904409,0.3258822748445794
343,3,8.373813463828716,-13.833222122377444,0.8290189579576592,0.559220499755505
345,424,17.04435493299276,17.256911563836177,0.9999997742864648,0.0006718831890459
346,90,7.323160463473356,10.49340385063386,-0.8726933141635331,0.4882687573603997
347,8,-8.775664464516328,29.194976321431785,-0.902610699983123,0.4304578077767629
349,1,-24.54431844393056,8.854246116547348,0.7656980902363204,0.6432001512814279
350,14,6.828858187352369,15.975863206788702,-0.997289264517452,0.0735807235506654
351,2,37.414347847594605,2.946227473002774,0.8549441400733984,-0.5187200761047883
353,9,-47.98000459677347,8.252451277927488,0.9777119077988408,0.2099510070191396
354,10,45.12681424643635,-0.2504162718016626,-0.9993908790905488,0.0348980055392859
355,6,25.38830177933417,0.2373658092522611,0.9846039778300354,0.1747999051523515
356,4,35.51669530570338,13.686993577330142,-0.9749424144514628,-0.222457385814794
357,7,-17.395908813313063,7.2858907518805935,-0.9999548209838394,0.0095055768461336
359,11,-24.763279969780065,4.64041862457089,0.3341083357308301,0.9425346784045534
360,5,6.9439021913770045,-21.626976004722813,-0.9999500499236044,-0.0099948815791486
361,18,-11.25142920734466,0.5534814575108233,-0.9856933983271908,-0.1685482853493136
362,12,37.95002364004071,7.876272106660359,0.9976395061410788,0.0686688851415593
364,21,-6.280485388514931,35.66420841402261,-0.9186431489542723,0.3950883001043927
365,3,8.431565989239495,-13.742472870626854,0.7773446400707578,0.6290749641761816
367,424,16.95072872689226,17.25366941743177,-0.9999990790392174,-0.0013571737977061
368,90,7.15329084820543,10.615131691032945,-0.8404666625443322,0.5418632568753777
369,9,-47.88715427034052,8.2616346917002,0.9786838448547918,0.2053726657085649
370,8,-8.780757053374495,29.27417328211885,-0.8325993855361358,0.5538756748629146
372,4,35.34432061711246,13.651228857733395,-0.9750686529836576,-0.2219034068432371
373,6,25.536462409049623,0.2606710958320984,0.984755935480388,0.1739417935291743
374,14,6.615682230659445,16.01101848993828,-0.9955945609049204,0.0937628407021602
375,5,6.755742977272259,-21.629765524952408,-0.9999371991143734,-0.011207043646832
376,10,44.91308002126242,-0.2467274853080588,-0.9994723848245972,0.0324800242153917
377,7,-17.571130689696183,7.281024178817647,-0.9999977687394704,0.0021124668235647
